isic_4digit,isic_4digit_name_ecoinvent
2630,Manufacture of communication equipment
2640,Manufacture of consumer electronics
2651,"Manufacture of measuring, testing, navigating and control equipment"
2710,"Manufacture of electric motors, generators, transformers and electricity di"
2720,Manufacture of batteries and accumulators
2732,Manufacture of other electronic and electric wires and cables
2740,Manufacture of electric lighting equipment
2750,Manufacture of domestic appliances
2790,Manufacture of other electrical equipment
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle eng"
2812,Manufacture of fluid power equipment
2813,"Manufacture of other pumps, compressors, taps and valves"
2815,"Manufacture of ovens, furnaces and furnace burners"
2816,Manufacture of lifting and handling equipment
2817,Manufacture of office machinery and equipment (except computers and periphe
2818,Manufacture of power-driven hand tools
2819,Manufacture of other general-purpose machinery
2821,Manufacture of agricultural and forestry machinery
2822,Manufacture of metal-forming machinery and machine tools
2823,Manufacture of machinery for metallurgy
2824,"Manufacture of machinery for mining, quarrying and construction"
2829,Manufacture of other special-purpose machinery
2910,Manufacture of motor vehicles
2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of traile
2930,Manufacture of parts and accessories for motor vehicles
3011,Building of ships and floating structures
3020,Manufacture of railway locomotives and rolling stock
3030,Manufacture of air and spacecraft and related machinery
3091,Manufacture of motorcycles
3092,Manufacture of bicycles and invalid carriages
3100,Manufacture of furniture
3314,Repair of electrical equipment
3315,"Repair of transport equipment, except motor vehicles"
3320,Installation of industrial machinery and equipment
35,"Electricity, gas, steam and air conditioning supply"
3510,"Electric power generation, transmission and distribution"
3520,Manufacture of gas; distribution of gaseous fuels through mains
3530,Steam and air conditioning supply
3600,"Water collection, treatment and supply"
3700,Sewerage
3811,Collection of non-hazardous waste
3821,Treatment and disposal of non-hazardous waste
3822,Treatment and disposal of hazardous waste
3830,Materials recovery
3900,Remediation activities and other waste management services
4100,Construction of buildings
4210,Construction of roads and railways
4220,Construction of utility projects
4290,Construction of other civil engineering projects
4312,Site preparation
4322,"Plumbing, heat and air-conditioning installation"
4390,Other specialized construction activities
4520,Maintenance and repair of motor vehicles
4540,"Sale, maintenance and repair of motorcycles and related parts and accessori"
4661,"Wholesale of solid, liquid and gaseous fuels and related products"
4911,"Passenger rail transport, interurban"
4912,Freight rail transport
492,Other land transport
4921,Urban and suburban passenger land transport
4922,Other passenger land transport
4923,Freight transport by road
4930,Transport via pipeline
5012,Sea and coastal freight water transport
5022,Inland freight water transport
5110,Passenger air transport
5120,Freight air transport
5229,Other transportation support activities
5510,Short term accommodation activities
6110,Wired telecommunications activities
7110,Architectural and engineering activities and related technical consultancy
8219,"Photocopying, document preparation and other specialized office support act"
8292,Packaging activities
9529,Repair of other personal and household goods
9601,Washing and (dry-) cleaning of textile and fur products
